Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;18:17:20.303; 1.4348E-06
1/14/2021;18:17:20.305; 1.2786E-09
1/14/2021;18:17:20.307; 1.2786E-09
1/14/2021;18:17:20.309; 1.2786E-09
1/14/2021;18:17:20.311; 1.2786E-09
1/14/2021;18:17:20.313; 3.5951E-07
1/14/2021;18:17:20.315; 3.5951E-07
1/14/2021;18:17:20.319; 1.0763E-06
1/14/2021;18:17:20.321; 7.1806E-07
1/14/2021;18:17:20.323; 3.5951E-07
1/14/2021;18:17:20.325; 1.4348E-06
1/14/2021;18:17:20.327; 3.5951E-07
1/14/2021;18:17:20.330; 3.5951E-07
1/14/2021;18:17:20.331; -3.5727E-07
1/14/2021;18:17:20.333; 3.5951E-07
1/14/2021;18:17:20.335; 1.0763E-06
1/14/2021;18:17:20.337; 3.5951E-07
1/14/2021;18:17:20.339; 7.1806E-07
1/14/2021;18:17:20.341; 3.5951E-07
1/14/2021;18:17:20.343; 7.1806E-07
1/14/2021;18:17:20.345; 7.1806E-07
1/14/2021;18:17:20.347; 3.5951E-07
1/14/2021;18:17:20.349; 7.1806E-07
1/14/2021;18:17:20.351; 3.5951E-07
1/14/2021;18:17:20.353; 7.1806E-07
1/14/2021;18:17:20.355; 3.5951E-07
1/14/2021;18:17:20.357; 7.1806E-07
1/14/2021;18:17:20.359; 3.5951E-07
1/14/2021;18:17:20.361; 7.1806E-07
1/14/2021;18:17:20.363; 1.2786E-09
1/14/2021;18:17:20.365; 7.1806E-07
1/14/2021;18:17:20.367; 3.5951E-07
1/14/2021;18:17:20.369; 1.7931E-06
1/14/2021;18:17:20.371; 7.1806E-07
1/14/2021;18:17:20.373; 1.4348E-06
1/14/2021;18:17:20.375; 2.5099E-06
1/14/2021;18:17:20.377; 1.0763E-06
1/14/2021;18:17:20.379; 3.5951E-07
1/14/2021;18:17:20.381; 3.5951E-07
