Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:45:56.655; 0.0076966
1/14/2021;19:45:56.657; 0.0076948
1/14/2021;19:45:56.659; 0.0076937
1/14/2021;19:45:56.661; 0.0076945
1/14/2021;19:45:56.663; 0.0076948
1/14/2021;19:45:56.664; 0.0076937
1/14/2021;19:45:56.666; 0.0076941
1/14/2021;19:45:56.668; 0.0076941
1/14/2021;19:45:56.669; 0.007693
1/14/2021;19:45:56.671; 0.0076934
1/14/2021;19:45:56.673; 0.0076941
1/14/2021;19:45:56.675; 0.007693
1/14/2021;19:45:56.677; 0.0076923
1/14/2021;19:45:56.679; 0.0076927
1/14/2021;19:45:56.680; 0.0076955
1/14/2021;19:45:56.682; 0.0076959
1/14/2021;19:45:56.684; 0.0076952
1/14/2021;19:45:56.686; 0.0076948
1/14/2021;19:45:56.688; 0.0076934
1/14/2021;19:45:56.690; 0.0076948
1/14/2021;19:45:56.692; 0.0076963
1/14/2021;19:45:56.694; 0.0076963
1/14/2021;19:45:56.696; 0.0076963
1/14/2021;19:45:56.698; 0.0076952
1/14/2021;19:45:56.700; 0.0076973
1/14/2021;19:45:56.702; 0.0076995
1/14/2021;19:45:56.704; 0.0076963
1/14/2021;19:45:56.706; 0.0076948
1/14/2021;19:45:56.708; 0.0076934
1/14/2021;19:45:56.710; 0.0076934
1/14/2021;19:45:56.712; 0.0076937
1/14/2021;19:45:56.714; 0.0076934
1/14/2021;19:45:56.716; 0.0076923
1/14/2021;19:45:56.718; 0.0076934
1/14/2021;19:45:56.719; 0.0076948
1/14/2021;19:45:56.721; 0.0076941
1/14/2021;19:45:56.723; 0.0076955
1/14/2021;19:45:56.725; 0.0076945
1/14/2021;19:45:56.727; 0.0076945
1/14/2021;19:45:56.729; 0.0076937
1/14/2021;19:45:56.737; 0.0076934
1/14/2021;19:45:56.742; 0.0076909
1/14/2021;19:45:56.744; 0.0076905
1/14/2021;19:45:56.746; 0.0076905
1/14/2021;19:45:56.748; 0.0076902
1/14/2021;19:45:56.750; 0.0076909
1/14/2021;19:45:56.752; 0.0076916
1/14/2021;19:45:56.753; 0.0076927
1/14/2021;19:45:56.754; 0.0076934
1/14/2021;19:45:56.755; 0.007693
1/14/2021;19:45:56.756; 0.007693
1/14/2021;19:45:56.757; 0.0076934
1/14/2021;19:45:56.758; 0.007692
1/14/2021;19:45:56.759; 0.0076916
1/14/2021;19:45:56.760; 0.0076912
1/14/2021;19:45:56.762; 0.0076916
1/14/2021;19:45:56.764; 0.0076923
1/14/2021;19:45:56.766; 0.0076909
1/14/2021;19:45:56.768; 0.0076923
1/14/2021;19:45:56.770; 0.0076927
1/14/2021;19:45:56.772; 0.0076941
1/14/2021;19:45:56.774; 0.007697
1/14/2021;19:45:56.776; 0.0076955
1/14/2021;19:45:56.778; 0.0076959
1/14/2021;19:45:56.780; 0.0076973
1/14/2021;19:45:56.782; 0.0076966
1/14/2021;19:45:56.784; 0.0076966
1/14/2021;19:45:56.786; 0.0076959
1/14/2021;19:45:56.788; 0.0076952
1/14/2021;19:45:56.790; 0.0076948
1/14/2021;19:45:56.792; 0.0076945
1/14/2021;19:45:56.794; 0.0076948
1/14/2021;19:45:56.796; 0.0076959
1/14/2021;19:45:56.798; 0.0076959
1/14/2021;19:45:56.800; 0.0076963
1/14/2021;19:45:56.801; 0.0076948
1/14/2021;19:45:56.803; 0.0076959
1/14/2021;19:45:56.805; 0.0076955
1/14/2021;19:45:56.807; 0.0076966
1/14/2021;19:45:56.809; 0.0076973
1/14/2021;19:45:56.811; 0.0076973
1/14/2021;19:45:56.813; 0.0076977
1/14/2021;19:45:56.815; 0.0076981
1/14/2021;19:45:56.817; 0.0076991
1/14/2021;19:45:56.819; 0.0076991
1/14/2021;19:45:56.821; 0.0076984
1/14/2021;19:45:56.823; 0.0076966
1/14/2021;19:45:56.825; 0.0076959
1/14/2021;19:45:56.827; 0.0076952
1/14/2021;19:45:56.829; 0.0076945
1/14/2021;19:45:56.831; 0.0076941
1/14/2021;19:45:56.833; 0.0076955
1/14/2021;19:45:56.834; 0.0076963
1/14/2021;19:45:56.836; 0.0076963
1/14/2021;19:45:56.838; 0.007697
1/14/2021;19:45:56.840; 0.0076995
1/14/2021;19:45:56.842; 0.0077024
1/14/2021;19:45:56.844; 0.0077038
1/14/2021;19:45:56.846; 0.0077027
1/14/2021;19:45:56.848; 0.007702
1/14/2021;19:45:56.850; 0.0077002
1/14/2021;19:45:56.852; 0.0077002
1/14/2021;19:45:56.854; 0.0076981
1/14/2021;19:45:56.856; 0.0076963
1/14/2021;19:45:56.858; 0.0076955
1/14/2021;19:45:56.860; 0.0076948
1/14/2021;19:45:56.862; 0.0076959
1/14/2021;19:45:56.864; 0.0076934
1/14/2021;19:45:56.866; 0.007693
1/14/2021;19:45:56.867; 0.0076937
1/14/2021;19:45:56.869; 0.007693
1/14/2021;19:45:56.880; 0.0076937
1/14/2021;19:45:56.885; 0.0076963
1/14/2021;19:45:56.887; 0.0076945
1/14/2021;19:45:56.889; 0.0076945
1/14/2021;19:45:56.891; 0.0076948
1/14/2021;19:45:56.893; 0.0076927
1/14/2021;19:45:56.895; 0.0076937
1/14/2021;19:45:56.897; 0.007693
1/14/2021;19:45:56.899; 0.0076937
1/14/2021;19:45:56.901; 0.007692
1/14/2021;19:45:56.903; 0.0076916
1/14/2021;19:45:56.905; 0.0076902
1/14/2021;19:45:56.907; 0.0076891
1/14/2021;19:45:56.909; 0.0076895
1/14/2021;19:45:56.911; 0.0076898
1/14/2021;19:45:56.913; 0.0076898
1/14/2021;19:45:56.915; 0.0076891
1/14/2021;19:45:56.916; 0.0076884
1/14/2021;19:45:56.918; 0.0076887
1/14/2021;19:45:56.920; 0.0076898
1/14/2021;19:45:56.922; 0.0076905
1/14/2021;19:45:56.923; 0.0076895
1/14/2021;19:45:56.925; 0.0076891
1/14/2021;19:45:56.927; 0.007688
1/14/2021;19:45:56.929; 0.0076884
1/14/2021;19:45:56.931; 0.0076862
1/14/2021;19:45:56.933; 0.0076862
1/14/2021;19:45:56.935; 0.0076848
1/14/2021;19:45:56.937; 0.0076848
1/14/2021;19:45:56.939; 0.0076841
1/14/2021;19:45:56.941; 0.0076837
1/14/2021;19:45:56.943; 0.0076816
1/14/2021;19:45:56.945; 0.0076812
1/14/2021;19:45:56.947; 0.0076819
1/14/2021;19:45:56.949; 0.0076812
1/14/2021;19:45:56.951; 0.0076823
1/14/2021;19:45:56.953; 0.0076816
1/14/2021;19:45:56.954; 0.0076823
1/14/2021;19:45:56.955; 0.0076826
1/14/2021;19:45:56.957; 0.0076826
1/14/2021;19:45:56.959; 0.0076851
1/14/2021;19:45:56.961; 0.0076855
1/14/2021;19:45:56.963; 0.0076841
1/14/2021;19:45:56.965; 0.0076841
1/14/2021;19:45:56.966; 0.0076837
1/14/2021;19:45:56.968; 0.0076841
1/14/2021;19:45:56.970; 0.0076833
1/14/2021;19:45:56.972; 0.0076844
1/14/2021;19:45:56.974; 0.0076833
1/14/2021;19:45:56.976; 0.0076823
1/14/2021;19:45:56.978; 0.0076833
1/14/2021;19:45:56.980; 0.0076848
1/14/2021;19:45:56.982; 0.0076837
1/14/2021;19:45:56.984; 0.0076844
1/14/2021;19:45:56.986; 0.0076851
1/14/2021;19:45:56.988; 0.0076855
1/14/2021;19:45:56.989; 0.0076855
1/14/2021;19:45:56.991; 0.0076869
