Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:22:57.293; 0.0003272
1/14/2021;19:22:57.294; 0.00032685
1/14/2021;19:22:57.295; 0.0003272
1/14/2021;19:22:57.296; 0.00032685
1/14/2021;19:22:57.297; 0.00032756
1/14/2021;19:22:57.299; 0.00032649
1/14/2021;19:22:57.300; 0.0003272
1/14/2021;19:22:57.301; 0.0003272
1/14/2021;19:22:57.302; 0.0003272
1/14/2021;19:22:57.303; 0.0003272
1/14/2021;19:22:57.304; 0.00032756
1/14/2021;19:22:57.306; 0.0003272
1/14/2021;19:22:57.308; 0.00032649
1/14/2021;19:22:57.310; 0.00032756
1/14/2021;19:22:57.312; 0.0003272
1/14/2021;19:22:57.314; 0.0003272
1/14/2021;19:22:57.316; 0.00032756
1/14/2021;19:22:57.318; 0.00032792
1/14/2021;19:22:57.320; 0.00032685
1/14/2021;19:22:57.321; 0.00032756
1/14/2021;19:22:57.322; 0.0003272
1/14/2021;19:22:57.323; 0.0003272
1/14/2021;19:22:57.324; 0.0003272
1/14/2021;19:22:57.325; 0.0003272
1/14/2021;19:22:57.326; 0.0003272
1/14/2021;19:22:57.328; 0.00032756
1/14/2021;19:22:57.330; 0.0003272
1/14/2021;19:22:57.332; 0.0003272
1/14/2021;19:22:57.334; 0.0003272
1/14/2021;19:22:57.336; 0.0003272
1/14/2021;19:22:57.338; 0.0003272
1/14/2021;19:22:57.340; 0.0003272
1/14/2021;19:22:57.342; 0.0003272
1/14/2021;19:22:57.344; 0.00032756
1/14/2021;19:22:57.346; 0.00032792
1/14/2021;19:22:57.348; 0.00032828
1/14/2021;19:22:57.350; 0.00032828
1/14/2021;19:22:57.352; 0.00032792
1/14/2021;19:22:57.354; 0.00032792
1/14/2021;19:22:57.356; 0.00032756
1/14/2021;19:22:57.358; 0.00032756
1/14/2021;19:22:57.360; 0.00032756
1/14/2021;19:22:57.362; 0.00032792
1/14/2021;19:22:57.364; 0.00032756
1/14/2021;19:22:57.366; 0.00032756
1/14/2021;19:22:57.367; 0.00032792
1/14/2021;19:22:57.370; 0.00032756
1/14/2021;19:22:57.371; 0.00032756
1/14/2021;19:22:57.372; 0.00032756
1/14/2021;19:22:57.374; 0.00032792
1/14/2021;19:22:57.375; 0.00032792
1/14/2021;19:22:57.376; 0.00032756
1/14/2021;19:22:57.377; 0.0003272
1/14/2021;19:22:57.378; 0.0003272
1/14/2021;19:22:57.379; 0.00032756
1/14/2021;19:22:57.380; 0.00032792
1/14/2021;19:22:57.382; 0.00032828
1/14/2021;19:22:57.384; 0.00032756
1/14/2021;19:22:57.386; 0.00032756
1/14/2021;19:22:57.388; 0.00032756
1/14/2021;19:22:57.390; 0.00032756
1/14/2021;19:22:57.391; 0.00032756
1/14/2021;19:22:57.395; 0.00032756
1/14/2021;19:22:57.397; 0.0003272
1/14/2021;19:22:57.398; 0.00032756
1/14/2021;19:22:57.399; 0.00032828
1/14/2021;19:22:57.400; 0.00032792
1/14/2021;19:22:57.401; 0.00032756
1/14/2021;19:22:57.402; 0.00032864
1/14/2021;19:22:57.403; 0.000329
1/14/2021;19:22:57.405; 0.00032828
1/14/2021;19:22:57.407; 0.00032792
1/14/2021;19:22:57.409; 0.00032864
1/14/2021;19:22:57.411; 0.00032828
1/14/2021;19:22:57.413; 0.00032756
1/14/2021;19:22:57.415; 0.00032792
1/14/2021;19:22:57.417; 0.00032756
1/14/2021;19:22:57.419; 0.00032756
1/14/2021;19:22:57.420; 0.00032756
1/14/2021;19:22:57.421; 0.00032756
1/14/2021;19:22:57.423; 0.00032756
1/14/2021;19:22:57.424; 0.0003272
1/14/2021;19:22:57.426; 0.00032756
1/14/2021;19:22:57.427; 0.00032792
1/14/2021;19:22:57.429; 0.00032864
1/14/2021;19:22:57.430; 0.00032828
1/14/2021;19:22:57.432; 0.00032756
1/14/2021;19:22:57.433; 0.00032792
1/14/2021;19:22:57.435; 0.00032792
1/14/2021;19:22:57.437; 0.00032828
1/14/2021;19:22:57.439; 0.00032792
1/14/2021;19:22:57.441; 0.00032792
1/14/2021;19:22:57.442; 0.00032864
1/14/2021;19:22:57.444; 0.00032756
1/14/2021;19:22:57.445; 0.00032828
1/14/2021;19:22:57.447; 0.00032792
1/14/2021;19:22:57.449; 0.00032792
1/14/2021;19:22:57.451; 0.00032756
1/14/2021;19:22:57.452; 0.00032792
1/14/2021;19:22:57.454; 0.0003272
1/14/2021;19:22:57.456; 0.00032649
1/14/2021;19:22:57.457; 0.00032828
1/14/2021;19:22:57.459; 0.00032864
1/14/2021;19:22:57.461; 0.00032756
1/14/2021;19:22:57.463; 0.00032792
1/14/2021;19:22:57.464; 0.00032756
1/14/2021;19:22:57.466; 0.0003272
1/14/2021;19:22:57.468; 0.00032792
1/14/2021;19:22:57.470; 0.00032756
1/14/2021;19:22:57.472; 0.00032828
1/14/2021;19:22:57.474; 0.00032756
1/14/2021;19:22:57.476; 0.00032792
1/14/2021;19:22:57.478; 0.00032828
1/14/2021;19:22:57.480; 0.00032971
1/14/2021;19:22:57.481; 0.0003272
1/14/2021;19:22:57.483; 0.0003272
1/14/2021;19:22:57.485; 0.00032792
1/14/2021;19:22:57.487; 0.0003272
1/14/2021;19:22:57.488; 0.00032756
1/14/2021;19:22:57.490; 0.00032756
1/14/2021;19:22:57.492; 0.000329
1/14/2021;19:22:57.494; 0.00032756
1/14/2021;19:22:57.496; 0.00032756
1/14/2021;19:22:57.497; 0.00032792
1/14/2021;19:22:57.499; 0.00032756
1/14/2021;19:22:57.501; 0.0003272
1/14/2021;19:22:57.502; 0.00032792
1/14/2021;19:22:57.504; 0.00032756
1/14/2021;19:22:57.506; 0.00032792
1/14/2021;19:22:57.508; 0.00032864
1/14/2021;19:22:57.510; 0.00032828
1/14/2021;19:22:57.512; 0.00032792
1/14/2021;19:22:57.514; 0.00032828
1/14/2021;19:22:57.515; 0.00032792
1/14/2021;19:22:57.517; 0.00032792
1/14/2021;19:22:57.518; 0.00032792
1/14/2021;19:22:57.519; 0.00032828
1/14/2021;19:22:57.521; 0.00032685
1/14/2021;19:22:57.523; 0.00032756
1/14/2021;19:22:57.525; 0.00032756
1/14/2021;19:22:57.527; 0.00032756
1/14/2021;19:22:57.529; 0.00032792
1/14/2021;19:22:57.531; 0.00032685
1/14/2021;19:22:57.533; 0.00032828
1/14/2021;19:22:57.535; 0.00032792
1/14/2021;19:22:57.536; 0.000329
1/14/2021;19:22:57.537; 0.00032685
1/14/2021;19:22:57.540; 0.00032756
1/14/2021;19:22:57.555; 0.00032864
1/14/2021;19:22:57.557; 0.00032792
1/14/2021;19:22:57.559; 0.00032864
1/14/2021;19:22:57.560; 0.00032792
1/14/2021;19:22:57.561; 0.00032828
1/14/2021;19:22:57.562; 0.00032828
1/14/2021;19:22:57.563; 0.00032792
1/14/2021;19:22:57.564; 0.00032935
1/14/2021;19:22:57.565; 0.00032792
1/14/2021;19:22:57.567; 0.00032828
1/14/2021;19:22:57.569; 0.00032792
1/14/2021;19:22:57.571; 0.00032756
1/14/2021;19:22:57.573; 0.00032792
1/14/2021;19:22:57.575; 0.00032828
1/14/2021;19:22:57.577; 0.00032828
1/14/2021;19:22:57.578; 0.00032792
1/14/2021;19:22:57.580; 0.00032828
1/14/2021;19:22:57.582; 0.00032756
1/14/2021;19:22:57.584; 0.00032756
1/14/2021;19:22:57.586; 0.00032792
1/14/2021;19:22:57.588; 0.00032756
1/14/2021;19:22:57.590; 0.0003272
1/14/2021;19:22:57.591; 0.00032828
1/14/2021;19:22:57.593; 0.00032756
1/14/2021;19:22:57.595; 0.00032792
1/14/2021;19:22:57.596; 0.00032828
1/14/2021;19:22:57.598; 0.00032756
1/14/2021;19:22:57.600; 0.00032756
1/14/2021;19:22:57.602; 0.00032685
1/14/2021;19:22:57.603; 0.00032756
1/14/2021;19:22:57.605; 0.00032756
1/14/2021;19:22:57.607; 0.00032756
1/14/2021;19:22:57.609; 0.00032792
1/14/2021;19:22:57.611; 0.00032792
1/14/2021;19:22:57.613; 0.00032864
1/14/2021;19:22:57.614; 0.00032792
1/14/2021;19:22:57.616; 0.00032756
1/14/2021;19:22:57.618; 0.00032756
1/14/2021;19:22:57.620; 0.00032792
1/14/2021;19:22:57.621; 0.0003272
1/14/2021;19:22:57.623; 0.00032756
1/14/2021;19:22:57.624; 0.00032792
1/14/2021;19:22:57.626; 0.00032792
1/14/2021;19:22:57.627; 0.00032756
1/14/2021;19:22:57.629; 0.00032864
1/14/2021;19:22:57.630; 0.00032864
1/14/2021;19:22:57.632; 0.00032756
1/14/2021;19:22:57.634; 0.00032792
1/14/2021;19:22:57.636; 0.00032864
1/14/2021;19:22:57.638; 0.00032792
1/14/2021;19:22:57.640; 0.00032792
1/14/2021;19:22:57.643; 0.00032792
1/14/2021;19:22:57.645; 0.00032792
1/14/2021;19:22:57.647; 0.00032935
1/14/2021;19:22:57.649; 0.00032756
1/14/2021;19:22:57.651; 0.00032685
1/14/2021;19:22:57.653; 0.00032756
1/14/2021;19:22:57.655; 0.00032756
1/14/2021;19:22:57.657; 0.00032792
1/14/2021;19:22:57.659; 0.00032792
1/14/2021;19:22:57.661; 0.00032792
1/14/2021;19:22:57.663; 0.00032864
1/14/2021;19:22:57.664; 0.00032756
1/14/2021;19:22:57.665; 0.00032756
1/14/2021;19:22:57.666; 0.00032828
1/14/2021;19:22:57.668; 0.00032792
1/14/2021;19:22:57.669; 0.00032864
1/14/2021;19:22:57.671; 0.00032792
1/14/2021;19:22:57.673; 0.00032756
1/14/2021;19:22:57.675; 0.00032828
1/14/2021;19:22:57.677; 0.00032792
1/14/2021;19:22:57.679; 0.00032792
1/14/2021;19:22:57.681; 0.00032864
1/14/2021;19:22:57.683; 0.00032756
1/14/2021;19:22:57.685; 0.00032756
1/14/2021;19:22:57.687; 0.00032864
1/14/2021;19:22:57.689; 0.00032828
1/14/2021;19:22:57.691; 0.00032756
1/14/2021;19:22:57.692; 0.000329
1/14/2021;19:22:57.694; 0.00032792
1/14/2021;19:22:57.696; 0.00032828
1/14/2021;19:22:57.698; 0.000329
1/14/2021;19:22:57.700; 0.0003272
1/14/2021;19:22:57.702; 0.00032828
1/14/2021;19:22:57.704; 0.00032792
1/14/2021;19:22:57.706; 0.0003272
1/14/2021;19:22:57.708; 0.00032828
1/14/2021;19:22:57.710; 0.00032792
1/14/2021;19:22:57.712; 0.00032756
1/14/2021;19:22:57.714; 0.00032792
1/14/2021;19:22:57.716; 0.00032756
1/14/2021;19:22:57.718; 0.00032828
1/14/2021;19:22:57.720; 0.00032792
1/14/2021;19:22:57.722; 0.00032792
1/14/2021;19:22:57.726; 0.00032756
1/14/2021;19:22:57.728; 0.0003272
1/14/2021;19:22:57.730; 0.00032685
1/14/2021;19:22:57.732; 0.00032792
1/14/2021;19:22:57.734; 0.00032756
1/14/2021;19:22:57.736; 0.00032792
1/14/2021;19:22:57.738; 0.00032792
1/14/2021;19:22:57.748; 0.00032756
1/14/2021;19:22:57.753; 0.00032792
1/14/2021;19:22:57.755; 0.00032792
1/14/2021;19:22:57.767; 0.00032792
1/14/2021;19:22:57.772; 0.00032756
1/14/2021;19:22:57.775; 0.00032756
1/14/2021;19:22:57.777; 0.00032792
1/14/2021;19:22:57.779; 0.000329
1/14/2021;19:22:57.783; 0.00032792
1/14/2021;19:22:57.786; 0.00032828
1/14/2021;19:22:57.787; 0.00032792
1/14/2021;19:22:57.789; 0.00032756
1/14/2021;19:22:57.790; 0.00032792
1/14/2021;19:22:57.791; 0.00032792
1/14/2021;19:22:57.793; 0.00032864
1/14/2021;19:22:57.795; 0.00032756
1/14/2021;19:22:57.796; 0.0003272
1/14/2021;19:22:57.798; 0.00032792
1/14/2021;19:22:57.799; 0.00032792
1/14/2021;19:22:57.801; 0.00032828
1/14/2021;19:22:57.803; 0.00032971
1/14/2021;19:22:57.805; 0.00032828
1/14/2021;19:22:57.807; 0.00032971
1/14/2021;19:22:57.809; 0.00032828
1/14/2021;19:22:57.811; 0.00032828
1/14/2021;19:22:57.812; 0.00032864
1/14/2021;19:22:57.813; 0.00032828
1/14/2021;19:22:57.814; 0.00032864
1/14/2021;19:22:57.815; 0.00032971
1/14/2021;19:22:57.817; 0.000329
1/14/2021;19:22:57.819; 0.000329
1/14/2021;19:22:57.821; 0.00032756
1/14/2021;19:22:57.823; 0.000329
1/14/2021;19:22:57.825; 0.000329
1/14/2021;19:22:57.827; 0.00032864
1/14/2021;19:22:57.829; 0.00032864
1/14/2021;19:22:57.832; 0.00032864
1/14/2021;19:22:57.834; 0.00032864
1/14/2021;19:22:57.836; 0.00032828
1/14/2021;19:22:57.838; 0.00032828
1/14/2021;19:22:57.840; 0.00032935
1/14/2021;19:22:57.841; 0.00032864
1/14/2021;19:22:57.843; 0.00032792
1/14/2021;19:22:57.845; 0.00032828
1/14/2021;19:22:57.846; 0.00032828
1/14/2021;19:22:57.848; 0.00032792
1/14/2021;19:22:57.850; 0.00032864
1/14/2021;19:22:57.852; 0.00032756
1/14/2021;19:22:57.854; 0.00032792
1/14/2021;19:22:57.856; 0.00032828
